name;sex;count
Adelya;F;5
Adelyn;F;13432
Adelyn;M;6
Adelyna;F;100
Adelynd;F;6
Adelyne;F;556
Adelynn;F;8228
Adelynna;F;5
Adelynne;F;552
Adelys;F;5
Adelyse;F;5
Adem;M;393
Ademar;M;6
Ademide;F;14
Ademide;M;63
Ademir;M;15
Ademola;M;42
Aden;F;211
Aden;M;9697
Adena;F;119
Adenike;F;10
Adeniyi;M;5
Adenn;M;6
Adeola;F;108
Adeola;M;19
Adeolu;M;18
Adeoluwa;M;56
Adera;F;5
Aderemi;M;6
Aderinsola;F;48
Aderyn;F;16
Adesewa;F;27
Adesh;M;5
Adesire;F;20
Adesola;F;10
Adessa;F;170
Adesuwa;F;47
Adetokunbo;M;26
Adewale;M;49
Adey;F;7
Adeyemi;M;24
Adham;M;285
Adhan;M;8
Adhara;F;58
Adharsh;M;6
Adharv;M;30
Adhav;M;36
Adheesh;M;5
Adhem;M;6
Adhira;F;163
Adhiraj;M;27
Adhithi;F;38
Adhithya;M;6
Adhrit;M;277
Adhrith;M;51
Adhvaith;M;36
Adhvay;M;5
Adhvik;M;275
Adhvika;F;52
Adhya;F;314
Adhyan;M;19
Adi;F;291
Adi;M;248
Adia;F;614
Adiah;F;45
Adiam;F;5
Adian;M;450
Adiana;F;123
Adianey;F;15
Adianez;F;17
Adianna;F;112
Adib;M;76
Adiba;F;94
Adidev;M;5
Adie;F;47
Adiel;F;67
Adiel;M;1152
Adiela;F;29
Adiella;F;44
Adielle;F;10
Adien;M;290
Adikus;M;5
Adil;M;395
Adila;F;39
Adilee;F;187
Adileigh;F;37
Adilen;F;54
Adilena;F;37
Adilene;F;1866
Adileni;F;18
Adilenne;F;78
Adileny;F;48
Adiley;F;17
Adilia;F;10
Adiline;F;36
Adilson;M;30
Adilyn;F;1652
Adilyne;F;59
Adilynn;F;2078
Adilynne;F;108
Adin;F;13
Adin;M;1006
Adina;F;1257
Adinah;F;30
Adir;M;126
Adira;F;541
Adirah;F;5
Adis;M;71
Adisa;F;30
Adisa;M;10
Adisen;F;66
Adish;M;6
Adison;F;1081
Adison;M;113
Adisson;F;28
Adisyn;F;577
Adisynn;F;67
Adisynne;F;24
Adit;M;132
Adith;M;84
Adithi;F;225
Adithri;F;23
Adithya;M;231
Aditi;F;1546
Aditri;F;147
Aditya;M;2006
Adiv;M;27
Adiva;F;36
Adiya;F;117
Adiyah;F;36
Adiyan;M;30
Adja;F;54
Adjoa;F;21
Adlai;F;45
Adlai;M;155
Adlan;M;5
Adlar;M;5
Adlea;F;5
Adlee;F;620
Adlei;F;15
Adleigh;F;845
Adlemi;F;5
Adlen;F;12
Adler;F;205
Adler;M;1463
Adley;F;2778
Adley;M;176
Adlie;F;44
Adlih;F;10
Adlin;F;33
Adly;F;13
Adlyn;F;108
Adlynn;F;84
Admir;M;37
Admiral;M;6
Admire;F;59
Admire;M;10
Adn;F;5
Adna;F;198
Adnaan;M;37
Adnan;M;809
Adniel;M;15
Adolfo;M;1544
Adolph;M;48
Adolphus;M;31
Adom;M;66
Adomas;M;6
Adon;M;339
Adona;F;7
Adonai;F;88
Adonai;M;498
Adonay;M;220
Adoni;M;50
Adonia;F;93
Adoniah;F;27
Adoniah;M;30
Adonias;M;145
Adonijah;F;5
Adonijah;M;209
Adoniram;M;39
Adonis;F;12
Adonis;M;4804
Adoniyah;F;5
Adoniyah;M;6
Adonna;F;17
Adonnis;M;170
Adonte;M;8
Adony;M;10
Adonya;F;8
Adonys;M;33
Ador;F;5
Adora;F;507
Adorabella;F;22
Adorable;F;16
Adorae;F;5
Adorah;F;29
Adoraim;M;6
Adore;F;292
Adore;M;19
Adoree;F;23
Adoree;M;9
Adori;F;5
Adoria;F;12
Adorian;M;69
Adorion;M;6
Adra;F;44
Adrain;M;231
Adran;M;5
Adraya;F;22
Adrea;F;47
Adream;F;64
Adream;M;12
Adrean;F;11
Adrean;M;196
Adreana;F;147
Adreanna;F;264
Adree;F;16
Adreena;F;48
Adreian;M;11
Adrein;M;18
Adren;M;78
Adrena;F;36
Adreon;M;12
Adreona;F;7
Adreonna;F;21
Adrey;F;5
Adreyan;M;13
Adri;F;118
Adri;M;15
Adria;F;750
Adriaan;M;65
Adriah;F;20
Adriahna;F;24
Adrial;M;33
Adrialis;F;8
Adrialys;F;21
Adrian;F;1233
Adrian;M;67716
Adriana;F;19435
Adriana;M;13
Adrianah;F;103
Adriane;F;175
Adriane;M;22
Adrianjames;M;6
Adriann;F;109
Adriann;M;71
Adrianna;F;13294
Adriannah;F;103
Adrianne;F;816
Adrianne;M;5
Adrianno;M;8
Adrianny;F;22
Adriano;M;790
Adriany;F;5
Adriauna;F;73
Adriaunna;F;11
Adric;M;175
Adrick;M;114
Adrie;F;123
Adriean;M;12
Adrieana;F;7
Adrieanna;F;39
Adriel;F;468
Adriel;M;9485
Adriela;F;29
Adriell;M;63
Adriella;F;128
Adrielle;F;541
Adrielys;F;6
Adrien;F;128
Adrien;M;2876
Adriena;F;12
Adriene;F;86
Adrienn;F;5
Adrienn;M;7
Adrienna;F;83
Adrienne;F;3621
Adrienne;M;39
Adrihana;F;5
Adrihanna;F;15
Adrija;F;35
Adrijan;M;11
Adrijana;F;63
Adrik;M;228
Adrika;F;40
Adrin;M;68
Adrina;F;510
Adrinna;F;23
Adrion;M;168
Adriona;F;59
Adrionna;F;295
Adris;M;17
Adrit;M;7
Adrita;F;52
Adrith;M;21
Adriti;F;6
Adrius;M;19
Adriyan;M;34
Adriyana;F;75
Adriyanna;F;96
Adriyel;M;30
Adron;M;42
Adry;F;5
Adryan;F;62
Adryan;M;534
Adryana;F;222
Adryanna;F;261
Adryauna;F;5
Adryel;M;79
Adryen;M;56
Adryian;M;5
Adryn;F;6
Adryn;M;11
Adryon;M;5
Adut;F;50
Advait;M;316
Advaita;F;50
Advaith;M;513
Advay;M;309
Advik;M;736
Advika;F;425
Advikreddy;M;5
Advit;M;89
Advita;F;42
Advith;M;130
Advitha;F;23
Adwaith;M;10
Adwik;M;5
Adwin;M;39
Adwit;M;5
Adwita;F;54
Adwitiya;F;5
Adwoa;F;57
Ady;F;69
Adya;F;208
Adyaan;M;6
Adyan;M;327
Adyanna;F;6
Adyant;M;30
